Civilization,Leader,Unique Ability,Unique Unit,Unique Extra,DLC
America,Washington,Manifest Destiny: All land military units have +1 sight. 50% discount when purchasing tiles.,B17,Minuteman,
Arabia,Harun al-Rashid,Ships of the Desert: Caravans gain 50% extended range. Your trade routes spread the home city’s religion twice as effectively. Oil resources are doubled.,Camel Archer,Bazaar,
Assyria,Ashurbanipal,"Treasures of Nineveh: When a city is conquered, gain a free Technology already discovered by its owner. Gaining a city through a trade deal does not count, and it can only happen once per enemy city.",Siege Tower,Royal Library,Brave New World
Austria,Maria Theresa,Diplomatic Marriage: Can spend Gold to annex or puppet a City-State that has been your ally for 5 turns.,Hussar,Coffee House,Gods & Kings
Aztecs,Montezuma,Sacrificial Captives: Gains Culture for the empire from each enemy unit killed.,Jaguar,Floating Gardens,
Babylon,Nebuchadnezzar II,Ingenuity: Receive free Great Scientist when you discover Writing. Earn Great Scientists 50% faster.,Bowman,Walls of Babylon,Babylon DLC
Brazil,Pedro II,"Carnival: Tourism output is +100% during their Golden Ages. Earn Great Artists, Musicians, and Writers 50% faster during their Golden Ages.",Pracinha,Brazilwood Camp,Brave New World
Byzantium,Theodora,Patriarchate of Constantinople: Choose one more Belief than normal when you found a Religion.,Cataphract,Dromon,Gods & Kings
Carthage,Dido,"Phoenician Heritage: All coastal Cities get a free Harbor. Units may cross mountains after the first Great General is earned, taking 50 HP damage if they end a turn on a mountain.",African Forest Elephant,Quinquereme,Gods & Kings
Celts,Boudicca,Druidic Lore:+1 Faith per city with an adjacent unimproved Forest. Bonus increases to +2 Faith in Cities with 3 or more adjacent unimproved Forest tiles.,Pictish Warrior,Ceilidh Hall,Gods & Kings
China,Wu Zetian,"Art of War: The Great General combat bonus is increased by 15%, and their spawn rate is increased by 50%.",Chu-Ko-Nu,Paper Maker,
Denmark,Harald Bluetooth,Viking Fury: Embarked units have +1 Movement and pay just 1 movement point to move from sea to land. Melee units pay no movement point cost to pillage.,Berserker,Norwegian Ski Infantry,Denmark DLC
Egypt,Ramesses II,Monument Builders: +20% Production towards Wonder construction.,War Chariot,Burial Tomb,
England,Elizabeth,Sun Never Sets: +2 Movement for all naval units. Receives 1 extra Spy.,Longbowman,Ship of the Line,
Ethiopia,Haile Selassie,Spirit of Adwa: Combat bonus (+20%) when fighting units from a Civilization with more Cities than Ethiopia.,Mehal Sefari,Stele,Gods & Kings
